Emotion,Word,Sentence
Happy,দুখ,মই এখন বই পঢ়িছোঁ।
Angry,আনন্দ,তেওঁৰ মন অমৰ্যাদিত।
Angry,দুখ,মই খুব আনন্দিত।
Happy,আনন্দ,মই দুখিত।
Happy,বই,মই দুখিত।
Neutral,দুখ,মই এখন বই পঢ়িছোঁ।
Sad,বই,মই এখন বই পঢ়িছোঁ।
Happy,বই,মই এখন বই পঢ়িছোঁ।
Sad,বই,মই এখন বই পঢ়িছোঁ।
Sad,আনন্দ,মই খুব আনন্দিত।
Angry,বই,মই দুখিত।
Sad,বই,মই খুব আনন্দিত।
Sad,ক্রোধ,তেওঁৰ মন অমৰ্যাদিত।
Angry,আনন্দ,মই দুখিত।
Neutral,দুখ,মই দুখিত।
Happy,বই,মই দুখিত।
Happy,দুখ,মই দুখিত।
Sad,আনন্দ,মই খুব আনন্দিত।
Happy,বই,তেওঁৰ মন অমৰ্যাদিত।
Neutral,ক্রোধ,তেওঁৰ মন অমৰ্যাদিত।
Neutral,বই,তেওঁৰ মন অমৰ্যাদিত।
Neutral,বই,তেওঁৰ মন অমৰ্যাদিত।
Neutral,দুখ,মই দুখিত।
Happy,আনন্দ,মই খুব আনন্দিত।
Angry,দুখ,তেওঁৰ মন অমৰ্যাদিত।
Neutral,দুখ,মই খুব আনন্দিত।
Happy,দুখ,তেওঁৰ মন অমৰ্যাদিত।
Sad,বই,মই এখন বই পঢ়িছোঁ।
Sad,বই,তেওঁৰ মন অমৰ্যাদিত।
Angry,ক্রোধ,তেওঁৰ মন অমৰ্যাদিত।
Neutral,ক্রোধ,মই এখন বই পঢ়িছোঁ।
Angry,দুখ,মই খুব আনন্দিত।
Neutral,আনন্দ,মই দুখিত।
Angry,ক্রোধ,মই খুব আনন্দিত।
Sad,দুখ,মই খুব আনন্দিত।
Happy,বই,মই খুব আনন্দিত।
Happy,বই,মই এখন বই পঢ়িছোঁ।
Neutral,দুখ,তেওঁৰ মন অমৰ্যাদিত।
Neutral,ক্রোধ,তেওঁৰ মন অমৰ্যাদিত।
Happy,দুখ,মই দুখিত।
Angry,বই,মই দুখিত।
Angry,আনন্দ,মই দুখিত।
Neutral,দুখ,মই খুব আনন্দিত।
Sad,ক্রোধ,মই এখন বই পঢ়িছোঁ।
Sad,ক্রোধ,মই দুখিত।
Neutral,আনন্দ,মই খুব আনন্দিত।
Angry,বই,তেওঁৰ মন অমৰ্যাদিত।
Happy,ক্রোধ,মই খুব আনন্দিত।
Happy,বই,মই এখন বই পঢ়িছোঁ।
Angry,আনন্দ,মই খুব আনন্দিত।
Sad,আনন্দ,তেওঁৰ মন অমৰ্যাদিত।
Happy,ক্রোধ,মই দুখিত।
Neutral,দুখ,মই খুব আনন্দিত।
Neutral,ক্রোধ,মই খুব আনন্দিত।
Happy,আনন্দ,মই দুখিত।
Angry,আনন্দ,মই খুব আনন্দিত।
Happy,ক্রোধ,মই এখন বই পঢ়িছোঁ।
Neutral,আনন্দ,মই খুব আনন্দিত।
Sad,ক্রোধ,মই খুব আনন্দিত।
Neutral,ক্রোধ,মই খুব আনন্দিত।
Angry,বই,মই দুখিত।
Happy,ক্রোধ,মই খুব আনন্দিত।
Sad,আনন্দ,মই এখন বই পঢ়িছোঁ।
Sad,বই,মই দুখিত।
Angry,দুখ,তেওঁৰ মন অমৰ্যাদিত।
Neutral,ক্রোধ,মই খুব আনন্দিত।
Angry,আনন্দ,মই এখন বই পঢ়িছোঁ।
Happy,দুখ,তেওঁৰ মন অমৰ্যাদিত।
Neutral,দুখ,তেওঁৰ মন অমৰ্যাদিত।
Sad,দুখ,মই এখন বই পঢ়িছোঁ।
Angry,আনন্দ,মই খুব আনন্দিত।
Happy,ক্রোধ,মই দুখিত।
Sad,বই,মই খুব আনন্দিত।
Angry,আনন্দ,মই এখন বই পঢ়িছোঁ।
Angry,বই,মই এখন বই পঢ়িছোঁ।
Neutral,আনন্দ,মই খুব আনন্দিত।
Neutral,বই,মই খুব আনন্দিত।
Angry,বই,তেওঁৰ মন অমৰ্যাদিত।
Angry,দুখ,মই এখন বই পঢ়িছোঁ।
Happy,বই,মই এখন বই পঢ়িছোঁ।
Angry,ক্রোধ,মই এখন বই পঢ়িছোঁ।
Angry,আনন্দ,মই এখন বই পঢ়িছোঁ।
Happy,ক্রোধ,তেওঁৰ মন অমৰ্যাদিত।
Neutral,ক্রোধ,তেওঁৰ মন অমৰ্যাদিত।
Angry,আনন্দ,তেওঁৰ মন অমৰ্যাদিত।
Sad,আনন্দ,মই দুখিত।
Sad,আনন্দ,মই এখন বই পঢ়িছোঁ।
Neutral,ক্রোধ,মই খুব আনন্দিত।
Neutral,বই,তেওঁৰ মন অমৰ্যাদিত।
Happy,আনন্দ,মই দুখিত।
Angry,দুখ,মই দুখিত।
Happy,ক্রোধ,মই এখন বই পঢ়িছোঁ।
Angry,বই,তেওঁৰ মন অমৰ্যাদিত।
Sad,দুখ,মই এখন বই পঢ়িছোঁ।
Angry,বই,মই এখন বই পঢ়িছোঁ।
Sad,দুখ,তেওঁৰ মন অমৰ্যাদিত।
Sad,আনন্দ,মই এখন বই পঢ়িছোঁ।
Angry,ক্রোধ,মই দুখিত।
Happy,দুখ,তেওঁৰ মন অমৰ্যাদিত।
Sad,দুখ,মই খুব আনন্দিত।
Angry,আনন্দ,তেওঁৰ মন অমৰ্যাদিত।
Angry,বই,তেওঁৰ মন অমৰ্যাদিত।
Sad,দুখ,মই এখন বই পঢ়িছোঁ।
Sad,ক্রোধ,তেওঁৰ মন অমৰ্যাদিত।
Sad,দুখ,মই দুখিত।
Sad,আনন্দ,মই দুখিত।
Sad,বই,মই এখন বই পঢ়িছোঁ।
Angry,ক্রোধ,মই খুব আনন্দিত।
Neutral,দুখ,তেওঁৰ মন অমৰ্যাদিত।
Happy,বই,মই এখন বই পঢ়িছোঁ।
Neutral,দুখ,মই এখন বই পঢ়িছোঁ।
Neutral,আনন্দ,মই এখন বই পঢ়িছোঁ।
Happy,আনন্দ,মই এখন বই পঢ়িছোঁ।
Happy,ক্রোধ,মই খুব আনন্দিত।
Sad,বই,মই এখন বই পঢ়িছোঁ।
Neutral,আনন্দ,মই খুব আনন্দিত।
Neutral,আনন্দ,তেওঁৰ মন অমৰ্যাদিত।
Neutral,ক্রোধ,মই এখন বই পঢ়িছোঁ।
Sad,আনন্দ,মই এখন বই পঢ়িছোঁ।
Sad,ক্রোধ,মই দুখিত।
Happy,দুখ,মই এখন বই পঢ়িছোঁ।
Happy,বই,তেওঁৰ মন অমৰ্যাদিত।
Neutral,বই,মই দুখিত।
Neutral,আনন্দ,মই খুব আনন্দিত।
Sad,আনন্দ,তেওঁৰ মন অমৰ্যাদিত।
Angry,বই,মই দুখিত।
Sad,বই,তেওঁৰ মন অমৰ্যাদিত।
Happy,দুখ,মই খুব আনন্দিত।
Neutral,ক্রোধ,মই খুব আনন্দিত।
Happy,ক্রোধ,তেওঁৰ মন অমৰ্যাদিত।
Happy,আনন্দ,মই দুখিত।
Sad,বই,মই খুব আনন্দিত।
Angry,বই,মই দুখিত।
Happy,বই,মই দুখিত।
Angry,ক্রোধ,তেওঁৰ মন অমৰ্যাদিত।
Sad,ক্রোধ,মই এখন বই পঢ়িছোঁ।
Sad,আনন্দ,মই দুখিত।
Neutral,ক্রোধ,মই এখন বই পঢ়িছোঁ।
Sad,দুখ,মই খুব আনন্দিত।
Neutral,ক্রোধ,মই এখন বই পঢ়িছোঁ।
Sad,আনন্দ,তেওঁৰ মন অমৰ্যাদিত।
Angry,বই,মই এখন বই পঢ়িছোঁ।
Neutral,ক্রোধ,মই এখন বই পঢ়িছোঁ।
Happy,ক্রোধ,মই খুব আনন্দিত।
Happy,বই,মই এখন বই পঢ়িছোঁ।
Sad,বই,মই দুখিত।
Neutral,ক্রোধ,মই খুব আনন্দিত।
Happy,ক্রোধ,মই দুখিত।
Happy,দুখ,মই দুখিত।
Neutral,বই,মই খুব আনন্দিত।
Neutral,ক্রোধ,মই খুব আনন্দিত।
Happy,দুখ,মই খুব আনন্দিত।
Neutral,বই,মই দুখিত।
Neutral,আনন্দ,মই এখন বই পঢ়িছোঁ।
Angry,আনন্দ,মই খুব আনন্দিত।
Sad,দুখ,তেওঁৰ মন অমৰ্যাদিত।
Sad,দুখ,মই খুব আনন্দিত।
Angry,আনন্দ,মই খুব আনন্দিত।
Angry,দুখ,মই খুব আনন্দিত।
Sad,দুখ,মই খুব আনন্দিত।
Sad,ক্রোধ,তেওঁৰ মন অমৰ্যাদিত।
Angry,দুখ,মই দুখিত।
Sad,দুখ,মই খুব আনন্দিত।
Neutral,ক্রোধ,মই খুব আনন্দিত।
Neutral,ক্রোধ,মই খুব আনন্দিত।
Neutral,দুখ,মই দুখিত।
Neutral,দুখ,মই এখন বই পঢ়িছোঁ।
Neutral,বই,তেওঁৰ মন অমৰ্যাদিত।
Angry,আনন্দ,তেওঁৰ মন অমৰ্যাদিত।
Happy,আনন্দ,মই দুখিত।
Sad,দুখ,তেওঁৰ মন অমৰ্যাদিত।
Sad,আনন্দ,মই দুখিত।
Happy,ক্রোধ,মই খুব আনন্দিত।
Sad,আনন্দ,মই খুব আনন্দিত।
Happy,ক্রোধ,তেওঁৰ মন অমৰ্যাদিত।
Neutral,ক্রোধ,তেওঁৰ মন অমৰ্যাদিত।
Angry,বই,মই খুব আনন্দিত।
Happy,দুখ,মই এখন বই পঢ়িছোঁ।
Angry,আনন্দ,মই খুব আনন্দিত।
Happy,দুখ,মই খুব আনন্দিত।
Neutral,দুখ,মই দুখিত।
Sad,আনন্দ,মই দুখিত।
Angry,বই,মই এখন বই পঢ়িছোঁ।
Sad,বই,মই খুব আনন্দিত।
Happy,ক্রোধ,মই এখন বই পঢ়িছোঁ।
Angry,ক্রোধ,মই দুখিত।
Happy,দুখ,মই দুখিত।
Angry,দুখ,মই এখন বই পঢ়িছোঁ।
Neutral,দুখ,মই খুব আনন্দিত।
Angry,বই,মই খুব আনন্দিত।
Happy,দুখ,মই দুখিত।
Neutral,বই,মই খুব আনন্দিত।
Neutral,বই,মই খুব আনন্দিত।
Happy,আনন্দ,তেওঁৰ মন অমৰ্যাদিত।
Neutral,আনন্দ,তেওঁৰ মন অমৰ্যাদিত।
Angry,আনন্দ,মই দুখিত।
Angry,দুখ,মই এখন বই পঢ়িছোঁ।
Sad,বই,মই খুব আনন্দিত।
Sad,বই,তেওঁৰ মন অমৰ্যাদিত।
Angry,আনন্দ,তেওঁৰ মন অমৰ্যাদিত।
Happy,ক্রোধ,মই দুখিত।
Sad,দুখ,তেওঁৰ মন অমৰ্যাদিত।
Happy,ক্রোধ,মই দুখিত।
Sad,ক্রোধ,মই খুব আনন্দিত।
Angry,আনন্দ,মই খুব আনন্দিত।
Sad,দুখ,মই দুখিত।
Neutral,ক্রোধ,মই এখন বই পঢ়িছোঁ।
Angry,ক্রোধ,মই খুব আনন্দিত।
Sad,ক্রোধ,মই এখন বই পঢ়িছোঁ।
Neutral,ক্রোধ,মই এখন বই পঢ়িছোঁ।
